Year,Quarter,Real terms price indices: Solid fuels [Note 3],Real terms price indices: Gas [Note 3],Real terms price indices: Electricity [Note 3],Real terms price indices: Liquid fuels [Note 3],"Real terms price indices: Domestic fuels [Note 1, 3]","Real terms price indices: Motor fuel & oil [Note 2, 3]",Real terms price indices: All Items CPI 2025=100 [Note 3]
2019,Jan to Mar,91.22522903148965,78.98466425937625,77.35458182606845,116.17153831087825,77.87576513798986,115.37402718666641,99.72225585343098
2019,Apr to June,89.60355546908102,85.47847484236016,84.91623254664688,116.5086445107354,84.45846852186516,119.89427811982179,99.7033781953647
2019,July to Sept,89.23932466625833,84.97129166703623,84.41238541391573,113.8557847059058,83.95733751400715,118.97615484452784,99.57149430411333
2019,Oct to Dec,91.67715333396085,77.11701739162405,82.18918763056824,115.70787978771087,79.81841352893771,116.59297666671952,99.22269906913854
2020,Jan to Mar,91.8490933932815,76.49737107441113,81.52878569656484,102.57666075577146,78.9617109846771,113.92231320886765,98.4254304228437
2020,Apr to June,85.7411762563597,68.7329411975359,76.02364086426236,62.751173322378875,71.84173506085052,92.95714925235872,91.63297900540994
2020,July to Sept,89.31908449075914,71.5202046681723,79.13288965898823,70.18472646119834,74.90924939367089,100.99053494945515,95.80866156190142
2020,Oct to Dec,92.29964103830514,63.23285586361409,77.09268395924943,73.15411471708038,70.60854082396303,102.21317607498142,96.58462174619525
2021,Jan to Mar,91.32627471733285,62.402377170309045,76.08017502598301,90.11999284802545,70.09637329626665,106.67130249988162,95.49100432065664
2021,Apr to June,92.5412136201079,69.06053529284564,84.00624345068786,94.77022485542938,77.13483147262842,114.1675246999252,97.91974655376274
2021,July to Sept,91.77180965022642,68.30800394369705,83.21646308582764,98.20123547152896,76.50201478648528,118.23520787028787,97.90263953985348
2021,Oct to Dec,93.01134474008099,78.99724018690858,89.33414748504946,119.84899712587837,84.66284726302136,125.24399125409845,98.86713952399676
2022,Jan to Mar,96.2369968295187,77.99208766743334,88.4147620115927,151.3341964326852,84.44588356777481,130.61762044464487,98.78961901840533
2022,Apr to June,102.67578886036752,127.43471551785976,121.8413049430173,198.590125712772,123.80147972552014,146.12664304806836,100.98760633318355
2022,July to Sept,111.67936178568172,125.56853307898888,120.44358211114748,185.38040385249855,122.23192709462853,148.98916039715135,101.27967660583761
2022,Oct to Dec,116.15288107913224,167.67076866861103,137.15776754148388,175.5280688318268,148.59372714397924,135.75952626286022,101.58835306321872
2023,Jan to Mar,115.7388303977269,165.68223382545614,136.52952259308674,149.84201598192385,147.00392105064267,123.20496633041277,100.82114105985167
2023,Apr to June,112.69080657208819,161.6001005282821,133.06961745827635,115.09428515180504,142.68736494260799,115.44570331706309,101.98316763384152
2023,July to Sept,111.3124814608113,119.9498439208583,120.68629003346074,130.5943484766299,120.5101532361581,115.73870907876152,101.4765778064849
2023,Oct to Dec,109.47487295567635,111.56079427675787,111.71227129147809,138.8382857463544,112.2616219385242,118.1487960829671,101.99673884899634
2024,Jan to Mar,107.28347363735556,117.53399218670182,114.6703594373929,127.67793438718331,116.0331769634297,111.30585837589618,100.8302117275313
2024,Apr to June,106.43592820468703,97.86914287465265,101.70021918197666,117.65581240282077,100.66533960544793,113.47151892650062,100.77670307265487
2024,July to Sept,104.03142581310962,88.89868434586548,93.36031415523097,108.94304495598688,92.11292047892631,106.60073983115525,99.49015457894377
2024,Oct to Dec,102.7833516659421,98.71915425461863,100.04603028346834,104.57538297729528,99.71786913196048,101.5309143995009,99.7506040120413
2025,Jan to Mar,101.74845830096304,99.2631170539412,100.44151315484177,109.83533589625199,100.23967427727621,103.17438098962765,99.52569216518413
2025,Apr to June,100.65103066655404,105.72036496856383,102.35034267331808,91.71439760047164,103.41841749516121,98.60962064797441,100.39351357871197
2025,July to Sept,98.05012468991158,97.37470877037575,97.68401671722876,95.889264570017,97.55605722501795,98.84354866524335,100.0652005293679
2025,Oct to Dec,99.5239150825766,97.68904500816656,99.60521112788555,102.58527927528634,98.93809740059936,99.42033020677616,99.93891630494069
2026,Jan to Mar,97.63027368985709,93.20486546178489,102.3050128700823,133.71011119351218,99.84675018190256,99.08065816596657,99.1609815360781
2026,Apr to June,99.40129234770993,89.30934796635242,93.94833229052202,174.4219763573182,94.36148137828614,117.90414663392615,100.28893305041227
